product_id,product_name,category,subcategory,brand,list_price,unit_cost,supplier_lead_time_days,active_flag
P0001,Vera Headphones Item 1,Electronics,Headphones,Vera,104.29,51.81,8,Y
P0002,Aster Headphones Item 2,Electronics,Headphones,Summit,155.41,116.2,16,Y
P0003,CoreFlex Headphones Item 3,Electronics,Headphones,Vera,132.08,63.03,16,Y
P0004,Summit Headphones Item 4,Electronics,Headphones,CoreFlex,144.6,106.23,22,Y
P0005,Vera Chargers Item 5,Electronics,Chargers,CoreFlex,37.95,26.57,21,Y
P0006,Northline Chargers Item 6,electronics,Chargers,Summit,157.57,116.74,6,Y
P0007,UrbanNest Chargers Item 7,Electronics,Chargers,Everly,206.43,152.42,17,Y
P0008,Aster Chargers Item 8,Electronics,Chargers,Aster,188.32,130.06,11,Y
P0009,Vera Smart Home Item 9,Electronics,Smart Home,UrbanNest,108.05,74.24,14,Y
P0010,Everly Smart Home Item 10,Electronics,Smart Home,UrbanNest,56.44,30.66,7,Y
P0011,Luma Smart Home Item 11,Electronics,Smart Home,Luma,85.82,57.2,18,Y
P0012,Summit Smart Home Item 12,Electronics,Smart Home,UrbanNest,131.71,84.41,8,Y
P0013,CoreFlex Wearables Item 13,Electronics,Wearables,Summit,81.12,43.55,6,Y
P0014,Everly Wearables Item 14,Electronics,Wearables,Northline,89.69,64.13,11,Y
P0015,Vera Wearables Item 15,Home ,Wearables,Aster,85.34,42.62,9,Y
P0016,CoreFlex Wearables Item 16,Electronics,Wearables,Aster,84.84,48.46,24,Y
P0017,Summit Kitchen Item 17,Home,Kitchen,CoreFlex,111.16,82.59,9,Y
P0018,Luma Kitchen Item 18,Home,Kitchen,Vera,106.9,67.11,21,Y
P0019,Summit Kitchen Item 19,Home,Kitchen,Vera,100.36,70.31,10,Y
P0020,Luma Kitchen Item 20,Home,Kitchen,Summit,59.0,32.72,13,Y
P0021,CoreFlex Decor Item 21,Home,Decor,Northline,141.46,102.9,7,Y
